Płeć      ,Wiek ,Ile czasu w tygodniu spędzasz grając w gry komputerowe? ,"Wybierz, które określenia najbardziej odpowiadają twoim ulubiony gatunkom gier:" ,"Gra 1 - Radość" ,"Gra 1 - Złość" ,"Gra 1 - Smutek" ,"Gra 1 - Obrzydenie" ,"Gra 1 - Zaskoczenie" ,"Gra 1 - Strach" ,"Gra 1 (GEQ) - Poczułem/łam się ożywiony/a" ,"Gra 1 (GEQ) - Czułem/łam się źle" ,"Gra 1 (GEQ) - Trudno było mi wrócić do rzeczywistości" ,"Gra 1 (GEQ) - Czułem/łam się winny" ,"Gra 1 (GEQ) - Czułem/łam się zwycięsko" ,"Gra 1 (GEQ) - Uważam, że to strata czasu" ,"Gra 1 (GEQ) - Poczułem/łam się pobudzony" ,"Gra 1 (GEQ) - Czułem/łam się usatysfakcjonowany/na" ,"Gra 1 (GEQ) - Poczułem/łam się zdezorientowany" ,"Gra 1 (GEQ) - Czułem/łam się potężny" ,"Gra 1 (GEQ) - Czułem/łam się zmęczony" ,"Gra 1 (GEQ) - Poczułem/łam żal" ,"Gra 1 (GEQ) - Było mi wstyd" ,"Gra 1 (GEQ) - Czułem/łam się dumny" ,"Gra 1 (GEQ) - Miałem/łam wrażenie, że wróciłem z podróży" ,"Gra 2 - Radość" ,"Gra 2 - Złość" ,"Gra 2 - Smutek" ,"Gra 2 - Obrzydenie" ,"Gra 2 - Zaskoczenie" ,"Gra 2 - Strach" ,"Gra 2 (GEQ) - Poczułem/łam się ożywiony/a" ,"Gra 2 (GEQ) - Czułem/łam się źle" ,"Gra 2 (GEQ) - Trudno było mi wrócić do rzeczywistości" ,"Gra 2 (GEQ) - Czułem/łam się winny" ,"Gra 2 (GEQ) - Czułem/łam się zwycięsko" ,"Gra 2 (GEQ) - Uważam, że to strata czasu" ,"Gra 2 (GEQ) - Poczułem/łam się pobudzony" ,"Gra 2 (GEQ) - Czułem/łam się usatysfakcjonowany/na" ,"Gra 2 (GEQ) - Poczułem/łam się zdezorientowany" ,"Gra 2 (GEQ) - Czułem/łam się potężny" ,"Gra 2 (GEQ) - Czułem/łam się zmęczony" ,"Gra 2 (GEQ) - Poczułem/łam żal" ,"Gra 2 (GEQ) - Było mi wstyd" ,"Gra 2 (GEQ) - Czułem/łam się dumny" ,"Gra 2 (GEQ) - Miałem/łam wrażenie, że wróciłem z podróży"
Mężczyzna ,  20 ,Raczej nie gram w gry komputerowe                       ,"RPG,MMO,Przygoda,Sportowe"                                                       ,               3 ,              4 ,               2 ,                   2 ,                    4 ,               1 ,Wcale                                       ,Wcale                              ,Wcale                                                   ,Lekko                                ,Lekko                                    ,Lekko                                      ,Lekko                                      ,Wcale                                                ,Wcale                                            ,Średnio                                ,Wcale                                   ,Wcale                            ,Wcale                         ,Lekko                                ,Wcale                                                      ,               2 ,              4 ,               1 ,                   1 ,                    5 ,               1 ,Wcale                                       ,Mocno                              ,Wcale                                                   ,Ekstremalnie                         ,Średnio                                  ,Ekstremalnie                               ,Wcale                                      ,Mocno                                                ,Średnio                                          ,Mocno                                  ,Lekko                                   ,Wcale                            ,Lekko                         ,Mocno                                ,Mocno
Kobieta   ,  47 ,Raczej nie gram w gry komputerowe                       ,Puzzle                                                                            ,               3 ,              4 ,               2 ,                   2 ,                    2 ,               2 ,Mocno                                       ,Lekko                              ,Lekko                                                   ,Wcale                                ,Lekko                                    ,Mocno                                      ,Mocno                                      ,Lekko                                                ,Wcale                                            ,Wcale                                  ,Wcale                                   ,Lekko                            ,Wcale                         ,Mocno                                ,Średnio                                                    ,               4 ,              3 ,               5 ,                   2 ,                    4 ,               1 ,Średnio                                     ,Wcale                              ,Średnio                                                 ,Wcale                                ,Wcale                                    ,Średnio                                    ,Lekko                                      ,Lekko                                                ,Mocno                                            ,Średnio                                ,Średnio                                 ,Mocno                            ,Lekko                         ,Wcale                                ,Wcale
Mężczyzna ,  37 ,Mniej niż 2 godziny w tygodniu                          ,"RPG,Akcja,Przygoda"                                                              ,               3 ,              2 ,               2 ,                   2 ,                    3 ,               1 ,Lekko                                       ,Lekko                              ,Średnio                                                 ,Wcale                                ,Mocno                                    ,Mocno                                      ,Średnio                                    ,Ekstremalnie                                         ,Wcale                                            ,Lekko                                  ,Lekko                                   ,Wcale                            ,Wcale                         ,Mocno                                ,Średnio                                                    ,               1 ,              3 ,               2 ,                   4 ,                    6 ,               2 ,Lekko                                       ,Średnio                            ,Mocno                                                   ,Wcale                                ,Średnio                                  ,Wcale                                      ,Lekko                                      ,Lekko                                                ,Wcale                                            ,Średnio                                ,Wcale                                   ,Wcale                            ,Średnio                       ,Lekko                                ,Lekko
Mężczyzna ,  33 ,2 - 8 godzin w tygodniu                                 ,"RPG,FPS,Akcja,Przygoda,Platformowa,Wyścigowe,Sportowe"                           ,               2 ,              2 ,               1 ,                   2 ,                    1 ,               1 ,Średnio                                     ,Wcale                              ,Lekko                                                   ,Wcale                                ,Mocno                                    ,Ekstremalnie                               ,Średnio                                    ,Mocno                                                ,Lekko                                            ,Lekko                                  ,Wcale                                   ,Mocno                            ,Lekko                         ,Wcale                                ,Mocno                                                      ,               2 ,              1 ,               1 ,                   2 ,                    1 ,               1 ,Średnio                                     ,Wcale                              ,Wcale                                                   ,Wcale                                ,Średnio                                  ,Wcale                                      ,Wcale                                      ,Lekko                                                ,Wcale                                            ,Lekko                                  ,Wcale                                   ,Średnio                          ,Wcale                         ,Średnio                              ,Wcale
Mężczyzna ,  17 ,Więcej niż 8 godzin w tygodniu                          ,"RPG,Akcja,Przygoda,Platformowa,Symulacja"                                        ,               5 ,              3 ,               2 ,                   1 ,                    5 ,               2 ,Lekko                                       ,Lekko                              ,Wcale                                                   ,Wcale                                ,Lekko                                    ,Mocno                                      ,Lekko                                      ,Wcale                                                ,Wcale                                            ,Średnio                                ,Średnio                                 ,Średnio                          ,Wcale                         ,Mocno                                ,Wcale                                                      ,               5 ,              1 ,               3 ,                   3 ,                    2 ,               2 ,Średnio                                     ,Lekko                              ,Wcale                                                   ,Średnio                              ,Wcale                                    ,Średnio                                    ,Średnio                                    ,Wcale                                                ,Średnio                                          ,Średnio                                ,Wcale                                   ,Wcale                            ,Wcale                         ,Mocno                                ,Wcale
Mężczyzna ,  16 ,Mniej niż 2 godziny w tygodniu                          ,"Akcja,Przygoda,Wyścigowe,Sportowe"                                               ,               4 ,              2 ,               1 ,                   2 ,                    6 ,               3 ,Średnio                                     ,średnio                            ,Lekko                                                   ,Lekko                                ,Średnio                                  ,Wcale                                      ,Lekko                                      ,Wcale                                                ,Średnio                                          ,Lekko                                  ,Lekko                                   ,Lekko                            ,Lekko                         ,Wcale                                ,Średnio                                                    ,               3 ,              4 ,               2 ,                   1 ,                    4 ,               2 ,Lekko                                       ,Średnio                            ,Lekko                                                   ,Lekko                                ,Wcale                                    ,Lekko                                      ,Mocno                                      ,Wcale                                                ,Wcale                                            ,Lekko                                  ,Lekko                                   ,Lekko                            ,Ekstremalnie                  ,Średnio                              ,Lekko
Mężczyzna ,  23 ,Raczej nie gram w gry komputerowe                       ,"RPG,Akcja,Przygoda"                                                              ,               6 ,              4 ,               1 ,                   1 ,                    1 ,               1 ,Lekko                                       ,Wcale                              ,Wcale                                                   ,Wcale                                ,Lekko                                    ,Wcale                                      ,Średnio                                    ,Mocno                                                ,Wcale                                            ,Wcale                                  ,Wcale                                   ,Wcale                            ,Wcale                         ,Wcale                                ,Wcale                                                      ,               6 ,              5 ,               1 ,                   1 ,                    1 ,               1 ,Średnio                                     ,Wcale                              ,Wcale                                                   ,Wcale                                ,Średnio                                  ,Wcale                                      ,Średnio                                    ,Średnio                                              ,Wcale                                            ,Wcale                                  ,Wcale                                   ,Wcale                            ,Wcale                         ,Wcale                                ,Wcale
Mężczyzna ,  24 ,Raczej nie gram w gry komputerowe                       ,"FPS,Akcja,Sportowe"                                                              ,               5 ,              1 ,               1 ,                   1 ,                    4 ,               1 ,Średnio                                     ,Wcale                              ,Wcale                                                   ,Wcale                                ,Mocno                                    ,Lekko                                      ,Średnio                                    ,Mocno                                                ,Wcale                                            ,Średnio                                ,Wcale                                   ,Wcale                            ,Wcale                         ,Średnio                              ,Lekko                                                      ,               3 ,              1 ,               1 ,                   1 ,                    5 ,               1 ,Średnio                                     ,Wcale                              ,Wcale                                                   ,Wcale                                ,Średnio                                  ,Wcale                                      ,Lekko                                      ,Mocno                                                ,Wcale                                            ,Lekko                                  ,Wcale                                   ,Wcale                            ,Wcale                         ,Średnio                              ,Wcale
Mężczyzna ,  31 ,Raczej nie gram w gry komputerowe                       ,"RPG,FPS,Akcja,Przygoda"                                                          ,               6 ,              1 ,               1 ,                   1 ,                    3 ,               1 ,Średnio                                     ,Wcale                              ,Wcale                                                   ,Wcale                                ,Mocno                                    ,Wcale                                      ,Lekko                                      ,Mocno                                                ,Wcale                                            ,Lekko                                  ,Wcale                                   ,Wcale                            ,Wcale                         ,Średnio                              ,Lekko                                                      ,               2 ,              1 ,               1 ,                   1 ,                    4 ,               1 ,Średnio                                     ,Wcale                              ,Wcale                                                   ,Wcale                                ,Średnio                                  ,Wcale                                      ,Lekko                                      ,Średnio                                              ,Wcale                                            ,Wcale                                  ,Wcale                                   ,Wcale                            ,Wcale                         ,Mocno                                ,Wcale
Kobieta   ,  23 ,2 - 8 godzin w tygodniu                                 ,"RPG,Przygoda,Platformowa,Symulacja,Puzzle"                                       ,               5 ,              3 ,               1 ,                   1 ,                    3 ,               3 ,Mocno                                       ,Lekko                              ,Wcale                                                   ,Wcale                                ,Wcale                                    ,Wcale                                      ,Wcale                                      ,Wcale                                                ,Wcale                                            ,Wcale                                  ,Wcale                                   ,Wcale                            ,Wcale                         ,Wcale                                ,Wcale                                                      ,               4 ,              3 ,               3 ,                   1 ,                    1 ,               3 ,Lekko                                       ,Wcale                              ,Lekko                                                   ,Wcale                                ,Mocno                                    ,Lekko                                      ,Lekko                                      ,Średnio                                              ,Wcale                                            ,Wcale                                  ,Wcale                                   ,Wcale                            ,Wcale                         ,Wcale                                ,Wcale
